Year,Forest Cover Loss in Alaska (Square Meters)
2001,976072857.418044
2002,2209989715.677080
2003,2057068319.186030
2004,7059475457.973240
2005,8371235505.047250
2006,6501221166.686480
2007,1732089757.205790
2008,421341028.876380
2009,1474978677.668510
2010,5289428247.321200
2011,772268942.340897
2012,652646249.594347
2013,2408406754.552640
2014,914151611.759224
2015,8628716608.873880
2016,3058622408.540560
2017,1621516845.806330
2018,1099364745.831500
2019,5230996756.507730
2020,2026838010.588090
